dataset,localization_method,reduction_method,ac@2,ac@5,avg@5,elapsed_time_sum,bacc,recall,mcc,specificity,f1_score
TT-small,RCD,HDBS-R,0.05952385714285714,0.11111114285714287,0.07976185714285713,524.2531657142857,0.6411745754992628,0.7619047619047619,0.030927717794950856,0.5204443890937638,0.0093834842201371
TT-small,RCD,HDBS-SBD,0.0625,0.10833324999999999,0.09041650000000001,501.20928183333336,0.4698760633998442,0.41666666666666663,-0.00723531022588225,0.5230854601330219,0.0049061924823153
TT-small,RCD,K-S test,0.075,0.1744443,0.1351667,972.6832834333334,0.632355306958709,1.0,0.03269061863297447,0.26471061391741796,0.00809851619155595
TT-small,RCD,MetricSifter,0.1666667,0.18944429999999998,0.1685833,602.2637515666668,0.7544710282816236,0.9666666666666666,0.05658622488256575,0.5422753898965805,0.01297450822182825
TT-small,RCD,NSigma,0.075,0.151111,0.09716670000000001,801.1000601,0.6450732158306225,1.0,0.03472513499138466,0.29014643166124493,0.008369529650891331
TT-small,RCD,None,0.1916667,0.1744443,0.1651667,1161.2746027666667,0.5,1.0,-10.0,0.0,0.0058832437786622
TT-small,RS,BIRCH,0.008235917896297244,0.020456020034645337,0.012309258728505279,,0.6221637367131401,0.9761904761904762,0.030790010159898493,0.26813699723580386,0.008218134219061922
TT-small,RS,FluxInfer-AD,0.008678163896224516,0.02154897192645337,0.0129684028191975,,0.6395319083129206,1.0,0.03474381786158459,0.27906381662584107,0.008658699521538322
TT-small,RS,HDBS-R,0.00810351057194055,0.020055883581215277,0.0120875731672813,,0.5730945496019962,0.619047619047619,0.0163520136081856,0.5271414801563734,0.00807658116733848
TT-small,RS,HDBS-SBD,0.0062978666344671785,0.015592785953313064,0.009396128476263473,,0.5122142548949473,0.5,0.002139335670785443,0.5244285097898946,0.006277704724550329
TT-small,RS,K-S test,0.008678163896224516,0.02154897192645337,0.0129684028191975,,0.6395319083129206,1.0,0.03474381786158459,0.27906381662584107,0.008658699521538322
TT-small,RS,MetricSifter,0.012387397637871037,0.03062842126866821,0.018467619113258244,,0.7264192614818424,0.9047619047619048,0.050710757908998774,0.5480766182017802,0.012342292867879879
TT-small,RS,NSigma,0.0087898375733395,0.021826375382867334,0.013135319811685392,,0.6461435677827182,1.0,0.03572304983124201,0.29228713556543645,0.008770135660607357
TT-small,RS,None,0.006175757979276086,0.015366676866891794,0.009239387270763172,,0.5,1.0,-10.0,0.0,0.006166082870629171
TT-small,e-Diagnosis,BIRCH,0.0,0.01,0.0045,12.551545233333332,0.6322518125776292,1.0,0.03250211067683672,0.26450362515525844,0.00806907977398412
TT-small,e-Diagnosis,FluxInfer-AD,0.0,0.01,0.002,12.690738033333334,0.632355306958709,1.0,0.03269061863297447,0.26471061391741796,0.00809851619155595
TT-small,e-Diagnosis,HDBS-R,0.0,0.0,0.0,8.759354571428572,0.6411745754992628,0.7619047619047619,0.030927717794950856,0.5204443890937638,0.0093834842201371
TT-small,e-Diagnosis,HDBS-SBD,0.0,0.0,0.0,7.851045333333333,0.4698760633998442,0.41666666666666663,-0.00723531022588225,0.5230854601330219,0.0049061924823153
TT-small,e-Diagnosis,K-S test,0.0,0.01,0.002,12.706035733333334,0.632355306958709,1.0,0.03269061863297447,0.26471061391741796,0.00809851619155595
TT-small,e-Diagnosis,MetricSifter,0.0,0.02,0.0098333,8.092731866666666,0.7544710282816236,0.9666666666666666,0.05658622488256575,0.5422753898965805,0.01297450822182825
TT-small,e-Diagnosis,NSigma,0.0,0.01,0.0045,12.2066511,0.6450732158306225,1.0,0.03472513499138466,0.29014643166124493,0.008369529650891331
TT-small,e-Diagnosis,None,0.0,0.01,0.002,16.955984366666666,0.5,1.0,-10.0,0.0,0.0058832437786622
