dataset,localization_method,run_id_loc,reduction_method,chaos_comp,chaos_type,ac@2,ac@5,avg@5,elapsed_time_loc,run_id_tsdr,tp,tn,fn,fp,specificity,recall,proportion,f1_score,mcc,bacc,reduction_rate,elapsed_time_tsdr,num_metrics(reduced),num_metrics(filtered),num_metrics(raw),num_found_cause_metrics,rs_ac@2,rs_ac@5,rs_avg@5,elapsed_time_sum
TT-medium,e-Diagnosis,TSDRLOC-1913,MetricSifter,ts-order-service,pod-memory-hog,0.0,0.0,0.0,21.650939,TSDR-1817,5.666666666666667,717.3333333333334,0.0,534.6666666666666,0.5719659610567972,1.0,0.0104776413791283,0.0207369746465872,0.0772959169552652,0.7859829805283987,0.5693888983350536,1.8852666666666664,540,1257,2859,5.666666666666667,0.0208449743643627,0.0512967271131962,0.0309951755126025,23.536205666666667
TT-medium,RCD,TSDRLOC-1921,MetricSifter,ts-order-service,pod-memory-hog,0.0,0.0,0.0,3102.722717,TSDR-1817,5.666666666666667,717.3333333333334,0.0,534.6666666666666,0.5719659610567972,1.0,0.0104776413791283,0.0207369746465872,0.0772959169552652,0.7859829805283987,0.5693888983350536,1.8852666666666664,540,1257,2859,5.666666666666667,0.0208449743643627,0.0512967271131962,0.0309951755126025,3104.6079836666668
TT-medium,CG+PageRank,TSDRLOC-1929,MetricSifter,ts-order-service,pod-memory-hog,0.0,0.0,0.0,1.540326,TSDR-1817,5.666666666666667,717.3333333333334,0.0,534.6666666666666,0.5719659610567972,1.0,0.0104776413791283,0.0207369746465872,0.0772959169552652,0.7859829805283987,0.5693888983350536,1.8852666666666664,540,1257,2859,5.666666666666667,0.0208449743643627,0.0512967271131962,0.0309951755126025,3.4255926666666667
TT-medium,RCD,TSDRLOC-1953,MetricSifter,ts-order-service,pod-memory-hog,0.0,0.0,0.0,1943.771084,TSDR-1817,5.666666666666667,717.3333333333334,0.0,534.6666666666666,0.5719659610567972,1.0,0.0104776413791283,0.0207369746465872,0.0772959169552652,0.7859829805283987,0.5693888983350536,1.8852666666666664,540,1257,2859,5.666666666666667,0.0208449743643627,0.0512967271131962,0.0309951755126025,1945.6563506666666
TT-medium,RS,,MetricSifter,ts-order-service,pod-memory-hog,0.0208449743643627,0.0512967271131962,0.0309951755126025,,TSDR-1817,5.666666666666667,717.3333333333334,0.0,534.6666666666666,0.5719659610567972,1.0,0.0104776413791283,0.0207369746465872,0.0772959169552652,0.7859829805283987,0.5693888983350536,1.8852666666666664,540,1257,2859,5.666666666666667,0.0208449743643627,0.0512967271131962,0.0309951755126025,
TT-medium,e-Diagnosis,TSDRLOC-1913,MetricSifter,ts-station-service,pod-cpu-hog,0.0,0.0,0.0,18.129238,TSDR-1817,3.0,876.6666666666666,0.0,351.3333333333333,0.7132265176811504,1.0,0.008468505077946,0.0167947520888697,0.0777084079127627,0.8566132588405754,0.7114846147677577,1.6519,354,1231,2806,3.0,0.0168652784970055,0.0416312604156138,0.0251204056233631,19.781138000000002
TT-medium,RCD,TSDRLOC-1921,MetricSifter,ts-station-service,pod-cpu-hog,0.0,0.0,0.0,1159.660639,TSDR-1817,3.0,876.6666666666666,0.0,351.3333333333333,0.7132265176811504,1.0,0.008468505077946,0.0167947520888697,0.0777084079127627,0.8566132588405754,0.7114846147677577,1.6519,354,1231,2806,3.0,0.0168652784970055,0.0416312604156138,0.0251204056233631,1161.312539
TT-medium,CG+PageRank,TSDRLOC-1929,MetricSifter,ts-station-service,pod-cpu-hog,0.0,0.0,0.0,1.068046,TSDR-1817,3.0,876.6666666666666,0.0,351.3333333333333,0.7132265176811504,1.0,0.008468505077946,0.0167947520888697,0.0777084079127627,0.8566132588405754,0.7114846147677577,1.6519,354,1231,2806,3.0,0.0168652784970055,0.0416312604156138,0.0251204056233631,2.719946
TT-medium,RCD,TSDRLOC-1953,MetricSifter,ts-station-service,pod-cpu-hog,0.5,0.333333,0.5,754.690389,TSDR-1817,3.0,876.6666666666666,0.0,351.3333333333333,0.7132265176811504,1.0,0.008468505077946,0.0167947520888697,0.0777084079127627,0.8566132588405754,0.7114846147677577,1.6519,354,1231,2806,3.0,0.0168652784970055,0.0416312604156138,0.0251204056233631,756.3422889999999
TT-medium,RS,,MetricSifter,ts-station-service,pod-cpu-hog,0.0168652784970055,0.0416312604156138,0.0251204056233631,,TSDR-1817,3.0,876.6666666666666,0.0,351.3333333333333,0.7132265176811504,1.0,0.008468505077946,0.0167947520888697,0.0777084079127627,0.8566132588405754,0.7114846147677577,1.6519,354,1231,2806,3.0,0.0168652784970055,0.0416312604156138,0.0251204056233631,
