,anomaly_type,num_node,num_edge,func_type,noise_type,weight_generator,num_normal_samples,num_abnormal_samples,reduction_method,num_remained,num_total,reduction_rate,root_cause_recall,recall,precision,specificity,f1_score,bacc,elapsed_time_tsdr,trial_no
268,1,50,100,identity,exponential,uniform,160,20,K-S test,14.0,50.0,0.72,1.0,0.8952380952380953,0.837037037037037,0.9217100434983354,0.8527705627705627,0.9084740693682154,0.01055409163236618,3.0
269,1,50,100,identity,exponential,uniform,160,20,MetricSifter,13.2,50.0,0.736,0.9,0.9571428571428571,0.8568181818181818,0.966106412966878,0.899883855981417,0.9616246350548676,0.04142806753516197,3.0
270,1,50,100,identity,exponential,uniform,160,20,NSigma,36.4,50.0,0.272,1.0,1.0,0.3363188720464262,0.36832665062817427,0.4809723944697074,0.6841633253140872,0.005439894273877144,3.0
271,1,50,100,identity,exponential,uniform,160,20,None,50.0,50.0,0.0,1.0,1.0,0.244,0.0,0.3784490130097158,0.5,4.654563963413239e-06,3.0
272,1,50,100,identity,laplace,normal,160,20,BIRCH,33.2,50.0,0.33599999999999997,1.0,1.0,0.4693256767578401,0.47922264517092106,0.6314307148215625,0.7396113225854605,0.019441436417400836,3.0
273,1,50,100,identity,laplace,normal,160,20,FluxInfer-AD,16.4,50.0,0.672,0.13333333333333333,0.02857142857142857,0.0375,0.5247748420162213,0.03243243243243243,0.2766731352938249,2.94720036778599,3.0
274,1,50,100,identity,laplace,normal,160,20,HDBS-R,7.8,50.0,0.844,0.2,0.17445887445887445,0.3555555555555555,0.851093446783102,0.2254131898956583,0.5127761606209882,1.4495746349915861,3.0
275,1,50,100,identity,laplace,normal,160,20,HDBS-SBD,5.6,50.0,0.8879999999999999,0.36666666666666664,0.17373737373737375,0.4828571428571428,0.9108517440413992,0.21662962962962964,0.5422945588893865,0.09077781103551388,3.0
276,1,50,100,identity,laplace,normal,160,20,K-S test,3.0,50.0,0.9400000000000001,0.2,0.11616161616161616,0.6333333333333333,0.9653950216450216,0.19125391516695864,0.540778318903319,0.01066336091607809,3.0
277,1,50,100,identity,laplace,normal,160,20,MetricSifter,17.2,50.0,0.656,1.0,1.0,0.9478070175438595,0.9683531746031747,0.9725656090873482,0.9841765873015873,0.04259601794183254,3.0
278,1,50,100,identity,laplace,normal,160,20,NSigma,36.2,50.0,0.27599999999999997,1.0,1.0,0.43209092249339925,0.37961325073394037,0.5996290322580645,0.6898066253669702,0.0053548762574791905,3.0
279,1,50,100,identity,laplace,normal,160,20,None,50.0,50.0,0.0,1.0,1.0,0.324,0.0,0.47677157717547114,0.5,5.291588604450226e-06,3.0
280,1,50,100,identity,laplace,uniform,160,20,BIRCH,35.0,50.0,0.3,1.0,1.0,0.48894987365575604,0.4573969041710977,0.6518545969599835,0.7286984520855488,0.019054778665304185,3.0
281,1,50,100,identity,laplace,uniform,160,20,FluxInfer-AD,17.2,50.0,0.656,0.26666666666666666,0.17624269005847953,0.1683305100696405,0.559460819067081,0.17165945165945168,0.36785175456278024,2.8697212848812343,3.0
282,1,50,100,identity,laplace,uniform,160,20,HDBS-R,8.0,50.0,0.8400000000000001,0.15,0.18768607123870282,0.42063492063492064,0.8610103843026045,0.2578152743314034,0.5243482277706536,1.4474204761907459,3.0
283,1,50,100,identity,laplace,uniform,160,20,HDBS-SBD,7.8,50.0,0.844,0.05,0.1982123870281765,0.44000000000000006,0.8715903917398226,0.27235449735449735,0.5349013893839996,0.09177319835871459,3.0
284,1,50,100,identity,laplace,uniform,160,20,K-S test,7.2,50.0,0.8560000000000001,0.31666666666666665,0.2689992025518341,0.7676923076923077,0.920063025210084,0.3669146623269562,0.594531113880959,0.010776712745428085,3.0
285,1,50,100,identity,laplace,uniform,160,20,MetricSifter,19.0,50.0,0.62,0.9333333333333333,0.9707070707070707,0.8866300366300365,0.9245529415240041,0.9233639313494187,0.9476300061155374,0.04271387029439211,3.0
286,1,50,100,identity,laplace,uniform,160,20,NSigma,37.2,50.0,0.256,1.0,1.0,0.4661799105607155,0.3975750846244205,0.6279857545340343,0.6987875423122103,0.005309316143393516,3.0
287,1,50,100,identity,laplace,uniform,160,20,None,50.0,50.0,0.0,1.0,1.0,0.344,0.0,0.5073503472103111,0.5,4.740245640277863e-06,3.0
288,1,50,100,identity,normal,normal,160,20,BIRCH,38.0,50.0,0.24,1.0,1.0,0.3354765979990627,0.323801005196354,0.49319875142816344,0.661900502598177,0.01911046225577593,3.0
289,1,50,100,identity,normal,normal,160,20,FluxInfer-AD,17.0,50.0,0.66,0.1,0.051515151515151514,0.046486928104575165,0.5587324303603374,0.048367446393762184,0.3051237909377444,2.8255517931655048,3.0
290,1,50,100,identity,normal,normal,160,20,HDBS-R,7.6,50.0,0.8480000000000001,0.3,0.1397835497835498,0.24682539682539684,0.846123179146435,0.17025898078529655,0.4929533644649924,1.4367189900949597,3.0
291,1,50,100,identity,normal,normal,160,20,HDBS-SBD,7.2,50.0,0.8560000000000001,0.2,0.1712987012987013,0.3063492063492063,0.8656819149842405,0.21420357420357422,0.5184903081414709,0.0905708996579051,3.0
292,1,50,100,identity,normal,normal,160,20,K-S test,3.4,50.0,0.932,0.2,0.28748917748917746,0.85,0.9849833887043189,0.3547509438558032,0.6362362830967483,0.010660805553197861,3.0
293,1,50,100,identity,normal,normal,160,20,MetricSifter,13.0,50.0,0.74,1.0,1.0,0.9833333333333332,0.9948717948717949,0.9913043478260869,0.9974358974358974,0.04235778506845236,3.0
294,1,50,100,identity,normal,normal,160,20,NSigma,21.8,50.0,0.5640000000000001,1.0,1.0,0.5916694899303595,0.7605622284692053,0.7285275914079159,0.8802811142346026,0.005413165874779224,3.0
295,1,50,100,identity,normal,normal,160,20,None,50.0,50.0,0.0,1.0,1.0,0.256,0.0,0.3999785086929177,0.5,5.230307579040527e-06,3.0
296,1,50,100,identity,normal,uniform,160,20,BIRCH,40.6,50.0,0.188,1.0,1.0,0.43092759677820275,0.2943751053284522,0.5915740444191389,0.6471875526642261,0.01946853641420603,3.0
297,1,50,100,identity,normal,uniform,160,20,FluxInfer-AD,14.8,50.0,0.704,0.0,0.015384615384615385,0.013333333333333332,0.5589668776281352,0.014285714285714287,0.28717574650637534,2.7073961606249215,3.0
298,1,50,100,identity,normal,uniform,160,20,HDBS-R,7.2,50.0,0.8560000000000001,0.11666666666666665,0.18144011785316133,0.4261111111111111,0.8775365629321005,0.25222222222222224,0.5294883403926309,1.4547525921836495,3.0
299,1,50,100,identity,normal,uniform,160,20,HDBS-SBD,7.0,50.0,0.86,0.05,0.1644489568402612,0.4018253968253968,0.8730850525982372,0.22860463312076215,0.5187670047192492,0.09002940710633993,3.0
300,1,50,100,identity,normal,uniform,160,20,K-S test,4.0,50.0,0.9199999999999999,0.3333333333333333,0.16684185379837552,0.6266666666666667,0.9590826120237885,0.2586973180076629,0.5629622329110819,0.01130247749388218,3.0
301,1,50,100,identity,normal,uniform,160,20,MetricSifter,17.4,50.0,0.6519999999999999,1.0,0.9826086956521738,0.975,0.9793103448275862,0.9775757575757575,0.98095952023988,0.04399869106709957,3.0
302,1,50,100,identity,normal,uniform,160,20,NSigma,25.2,50.0,0.496,1.0,1.0,0.7003582251082252,0.7449764165788506,0.8183056442738668,0.8724882082894254,0.005338994413614273,3.0
303,1,50,100,identity,normal,uniform,160,20,None,50.0,50.0,0.0,1.0,1.0,0.344,0.0,0.5063863184642656,0.5,4.740245640277863e-06,3.0
304,1,50,100,identity,uniform,normal,160,20,BIRCH,38.8,50.0,0.22400000000000003,1.0,1.0,0.3974720628209,0.32265855919106695,0.5568866515000859,0.6613292795955334,0.0190688481554389,3.0
305,1,50,100,identity,uniform,normal,160,20,FluxInfer-AD,22.4,50.0,0.5519999999999999,0.2,0.26176470588235295,0.16666666666666666,0.47686121927607994,0.18735380116959063,0.3693129625792164,2.2414105443283914,3.0
306,1,50,100,identity,uniform,normal,160,20,HDBS-R,7.0,50.0,0.86,0.26666666666666666,0.1678921568627451,0.3698412698412698,0.8734665747049648,0.22482348569305088,0.5206793657838549,1.438416632823646,3.0
307,1,50,100,identity,uniform,normal,160,20,HDBS-SBD,7.2,50.0,0.8560000000000001,0.06666666666666667,0.18799019607843137,0.38,0.8734665747049648,0.24365875541761284,0.5307283853916981,0.0988200481981039,3.0
308,1,50,100,identity,uniform,normal,160,20,K-S test,7.0,50.0,0.86,0.3,0.33382352941176474,0.6818181818181819,0.9454096986604726,0.4136520484346572,0.6396166140361187,0.010654067061841488,3.0
309,1,50,100,identity,uniform,normal,160,20,MetricSifter,14.4,50.0,0.712,0.8,0.8,0.7846153846153847,0.9852130325814537,0.792,0.8926065162907267,0.04197904262691736,3.0
310,1,50,100,identity,uniform,normal,160,20,NSigma,17.2,50.0,0.656,1.0,1.0,0.888888888888889,0.9558441558441558,0.9276190476190476,0.9779220779220779,0.005269359797239304,3.0
311,1,50,100,identity,uniform,normal,160,20,None,50.0,50.0,0.0,1.0,1.0,0.308,0.0,0.46078373264467265,0.5,4.69554215669632e-06,3.0
312,1,50,100,identity,uniform,uniform,160,20,BIRCH,37.6,50.0,0.248,1.0,1.0,0.3468736689666922,0.33724005134788193,0.5042568351696671,0.668620025673941,0.019015046767890453,3.0
